admin2,hc_cluster_id
ACEH BARAT,24
ACEH BARAT DAYA,24
ACEH BESAR,22
ACEH JAYA,24
ACEH SELATAN,24
ACEH SINGKIL,24
ACEH TAMIANG,22
ACEH TENGAH,40
ACEH TENGGARA,38
ACEH TIMUR,22
ACEH UTARA,22
AGAM,26
ALOR,14
ASAHAN,23
ASMAT,23
BADUNG,13
BALANGAN,21
BANDUNG,10
BANDUNG BARAT,10
BANGGAI,25
BANGGAI KEPULAUAN,35
BANGGAI LAUT,35
BANGKA,34
BANGKA BARAT,34
BANGKA SELATAN,34
BANGKA TENGAH,34
BANGKALAN,3
BANGLI,12
BANJAR,21
BANJARNEGARA,11
BANTAENG,15
BANTUL,8
BANYU ASIN,21
BANYUMAS,13
BANYUWANGI,13
BARITO KUALA,21
BARITO SELATAN,21
BARITO TIMUR,21
BARITO UTARA,23
BARRU,19
BATANG,19
BATANG HARI,23
BATU BARA,23
BEKASI,20
BELITUNG,34
BELITUNG TIMUR,34
BELU,7
BENER MERIAH,40
BENGKALIS,23
BENGKAYANG,23
BENGKULU SELATAN,25
BENGKULU TENGAH,24
BENGKULU UTARA,24
BERAU,23
BIAK NUMFOR,34
BIMA,2
BINTAN,34
BIREUEN,22
BLITAR,8
BLORA,5
BOALEMO,33
BOGOR,20
BOJONEGORO,5
BOLAANG MONGONDOW,26
BOLAANG MONGONDOW SELATAN,31
BOLAANG MONGONDOW TIMUR,26
BOLAANG MONGONDOW UTARA,33
BOMBANA,15
BONDOWOSO,8
BONE,15
BONE BOLANGO,33
BOVEN DIGOEL,29
BOYOLALI,5
BREBES,20
BULELENG,14
BULUKUMBA,15
BULUNGAN,23
BUNGO,23
BUOL,25
BURU,25
BURU SELATAN,26
BUTON,15
BUTON SELATAN,15
BUTON TENGAH,15
BUTON UTARA,15
CIAMIS,11
CIANJUR,11
CILACAP,13
CIREBON,3
DAIRI,39
DEIYAI,43
DELI SERDANG,25
DEMAK,5
DHARMASRAYA,23
DOGIYAI,43
DOMPU,2
DONGGALA,25
EMPAT LAWANG,27
ENDE,14
ENREKANG,26
FAKFAK,25
FLORES TIMUR,2
GARUT,10
GAYO LUES,40
GIANYAR,13
GORONTALO,33
GORONTALO UTARA,33
GOWA,18
GRESIK,3
GROBOGAN,5
GUNUNG KIDUL,8
GUNUNG MAS,23
HALMAHERA BARAT,33
HALMAHERA SELATAN,33
HALMAHERA TENGAH,33
HALMAHERA TIMUR,25
HALMAHERA UTARA,33
HULU SUNGAI SELATAN,21
HULU SUNGAI TENGAH,21
HULU SUNGAI UTARA,21
HUMBANG HASUNDUTAN,39
INDRAGIRI HILIR,23
INDRAGIRI HULU,23
INDRAMAYU,3
INTAN JAYA,44
JAYAPURA,25
JAYAWIJAYA,44
JEMBER,13
JEMBRANA,13
JENEPONTO,18
JEPARA,3
JOMBANG,5
KAIMANA,25
KAMPAR,23
KAPUAS,21
KAPUAS HULU,23
KARANG ASEM,14
KARANGANYAR,5
KARAWANG,20
KARIMUN,34
KARO,39
KATINGAN,23
KAUR,24
KAYONG UTARA,23
KEBUMEN,13
KEDIRI,8
KEEROM,25
KENDAL,19
KEPAHIANG,38
KEPULAUAN ANAMBAS,34
KEPULAUAN ARU,33
KEPULAUAN MENTAWAI,34
KEPULAUAN MERANTI,23
KEPULAUAN SANGIHE,35
KEPULAUAN SELAYAR,37
KEPULAUAN SULA,35
KEPULAUAN TALAUD,34
KEPULAUAN YAPEN,34
KERINCI,40
KETAPANG,23
KLATEN,5
KLUNGKUNG,13
KOLAKA,15
KOLAKA TIMUR,16
KOLAKA UTARA,26
KONAWE,16
KONAWE KEPULAUAN,15
KONAWE SELATAN,16
KONAWE UTARA,25
KOTA AMBON,35
KOTA BALIKPAPAN,23
KOTA BANDA ACEH,22
KOTA BANDAR LAMPUNG,27
KOTA BANDUNG,10
KOTA BANJAR,13
KOTA BANJAR BARU,21
KOTA BANJARMASIN,21
KOTA BARU,23
KOTA BATAM,34
KOTA BATU,42
KOTA BAUBAU,15
KOTA BEKASI,20
KOTA BENGKULU,25
KOTA BIMA,2
KOTA BINJAI,25
KOTA BITUNG,33
KOTA BLITAR,8
KOTA BOGOR,20
KOTA BONTANG,23
KOTA BUKITTINGGI,40
KOTA CILEGON,33
KOTA CIMAHI,10
KOTA CIREBON,3
KOTA DENPASAR,13
KOTA DEPOK,20
KOTA DUMAI,23
KOTA GORONTALO,33
KOTA GUNUNGSITOLI,32
KOTA JAKARTA BARAT,20
KOTA JAKARTA PUSAT,20
KOTA JAKARTA SELATAN,20
KOTA JAKARTA TIMUR,20
KOTA JAKARTA UTARA,20
