admin2,admin1
ACEH BARAT,ACEH
ACEH BARAT DAYA,ACEH
ACEH BESAR,ACEH
ACEH JAYA,ACEH
ACEH SELATAN,ACEH
ACEH SINGKIL,ACEH
ACEH TAMIANG,ACEH
ACEH TENGAH,ACEH
ACEH TENGGARA,ACEH
ACEH TIMUR,ACEH
ACEH UTARA,ACEH
AGAM,SUMATRA BARAT
ALOR,NUSA TENGGARA TIMUR
ASAHAN,SUMATRA UTARA
ASMAT,PAPUA SELATAN
BADUNG,BALI
BALANGAN,KALIMANTAN SELATAN
BANDUNG,JAWA BARAT
BANDUNG BARAT,JAWA BARAT
BANGGAI,SULAWESI TENGAH
BANGGAI KEPULAUAN,SULAWESI TENGAH
BANGGAI LAUT,SULAWESI TENGAH
BANGKA,KEPULAUAN BANGKA BELITUNG
BANGKA BARAT,KEPULAUAN BANGKA BELITUNG
BANGKA SELATAN,KEPULAUAN BANGKA BELITUNG
BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG
BANGKALAN,JAWA TIMUR
BANGLI,BALI
BANJAR,KALIMANTAN SELATAN
BANJARNEGARA,JAWA TENGAH
BANTAENG,SULAWESI SELATAN
BANTUL,DAERAH ISTIMEWA YOGYAKARTA
BANYU ASIN,SUMATRA SELATAN
BANYUMAS,JAWA TENGAH
BANYUWANGI,JAWA TIMUR
BARITO KUALA,KALIMANTAN SELATAN
BARITO SELATAN,KALIMANTAN TENGAH
BARITO TIMUR,KALIMANTAN TENGAH
BARITO UTARA,KALIMANTAN TENGAH
BARRU,SULAWESI SELATAN
BATANG,JAWA TENGAH
BATANG HARI,JAMBI
BATU BARA,SUMATRA UTARA
BEKASI,JAWA BARAT
BELITUNG,KEPULAUAN BANGKA BELITUNG
BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG
BELU,NUSA TENGGARA TIMUR
BENER MERIAH,ACEH
BENGKALIS,RIAU
BENGKAYANG,KALIMANTAN BARAT
BENGKULU SELATAN,BENGKULU
BENGKULU TENGAH,BENGKULU
BENGKULU UTARA,BENGKULU
BERAU,KALIMANTAN TIMUR
BIAK NUMFOR,PAPUA
BIMA,NUSA TENGGARA BARAT
BINTAN,KEPULAUAN RIAU
BIREUEN,ACEH
BLITAR,JAWA TIMUR
BLORA,JAWA TENGAH
BOALEMO,GORONTALO
BOGOR,JAWA BARAT
BOJONEGORO,JAWA TIMUR
BOLAANG MONGONDOW,SULAWESI UTARA
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA
BOLAANG MONGONDOW UTARA,SULAWESI UTARA
BOMBANA,SULAWESI TENGGARA
BONDOWOSO,JAWA TIMUR
BONE,SULAWESI SELATAN
BONE BOLANGO,GORONTALO
BOVEN DIGOEL,PAPUA SELATAN
BOYOLALI,JAWA TENGAH
BREBES,JAWA TENGAH
BULELENG,BALI
BULUKUMBA,SULAWESI SELATAN
BULUNGAN,KALIMANTAN UTARA
BUNGO,JAMBI
BUOL,SULAWESI TENGAH
BURU,MALUKU
BURU SELATAN,MALUKU
BUTON,SULAWESI TENGGARA
BUTON SELATAN,SULAWESI TENGGARA
BUTON TENGAH,SULAWESI TENGGARA
BUTON UTARA,SULAWESI TENGGARA
CIAMIS,JAWA BARAT
CIANJUR,JAWA BARAT
CILACAP,JAWA TENGAH
CIREBON,JAWA BARAT
DAIRI,SUMATRA UTARA
DEIYAI,PAPUA TENGAH
DELI SERDANG,SUMATRA UTARA
DEMAK,JAWA TENGAH
DHARMASRAYA,SUMATRA BARAT
DOGIYAI,PAPUA TENGAH
DOMPU,NUSA TENGGARA BARAT
DONGGALA,SULAWESI TENGAH
EMPAT LAWANG,SUMATRA SELATAN
ENDE,NUSA TENGGARA TIMUR
ENREKANG,SULAWESI SELATAN
FAKFAK,PAPUA BARAT
FLORES TIMUR,NUSA TENGGARA TIMUR
GARUT,JAWA BARAT
GAYO LUES,ACEH
GIANYAR,BALI
GORONTALO,GORONTALO
GORONTALO UTARA,GORONTALO
GOWA,SULAWESI SELATAN
GRESIK,JAWA TIMUR
GROBOGAN,JAWA TENGAH
GUNUNG KIDUL,DAERAH ISTIMEWA YOGYAKARTA
GUNUNG MAS,KALIMANTAN TENGAH
HALMAHERA BARAT,MALUKU UTARA
HALMAHERA SELATAN,MALUKU UTARA
HALMAHERA TENGAH,MALUKU UTARA
HALMAHERA TIMUR,MALUKU UTARA
HALMAHERA UTARA,MALUKU UTARA
HULU SUNGAI SELATAN,KALIMANTAN SELATAN
HULU SUNGAI TENGAH,KALIMANTAN SELATAN
HULU SUNGAI UTARA,KALIMANTAN SELATAN
HUMBANG HASUNDUTAN,SUMATRA UTARA
INDRAGIRI HILIR,RIAU
INDRAGIRI HULU,RIAU
INDRAMAYU,JAWA BARAT
INTAN JAYA,PAPUA TENGAH
JAYAPURA,PAPUA
JAYAWIJAYA,PAPUA PEGUNUNGAN
JEMBER,JAWA TIMUR
JEMBRANA,BALI
JENEPONTO,SULAWESI SELATAN
JEPARA,JAWA TENGAH
JOMBANG,JAWA TIMUR
KAIMANA,PAPUA BARAT
KAMPAR,RIAU
KAPUAS,KALIMANTAN TENGAH
KAPUAS HULU,KALIMANTAN BARAT
KARANG ASEM,BALI
KARANGANYAR,JAWA TENGAH
KARAWANG,JAWA BARAT
KARIMUN,KEPULAUAN RIAU
KARO,SUMATRA UTARA
KATINGAN,KALIMANTAN TENGAH
KAUR,BENGKULU
KAYONG UTARA,KALIMANTAN BARAT
KEBUMEN,JAWA TENGAH
KEDIRI,JAWA TIMUR
KEEROM,PAPUA
KENDAL,JAWA TENGAH
KEPAHIANG,BENGKULU
KEPULAUAN ANAMBAS,KEPULAUAN RIAU
KEPULAUAN ARU,MALUKU
KEPULAUAN MENTAWAI,SUMATRA BARAT
KEPULAUAN MERANTI,RIAU
KEPULAUAN SANGIHE,SULAWESI UTARA
KEPULAUAN SELAYAR,SULAWESI SELATAN
KEPULAUAN SULA,MALUKU UTARA
KEPULAUAN TALAUD,SULAWESI UTARA
KEPULAUAN YAPEN,PAPUA
KERINCI,JAMBI
KETAPANG,KALIMANTAN BARAT
KLATEN,JAWA TENGAH
KLUNGKUNG,BALI
KOLAKA,SULAWESI TENGGARA
KOLAKA TIMUR,SULAWESI TENGGARA
KOLAKA UTARA,SULAWESI TENGGARA
KONAWE,SULAWESI TENGGARA
KONAWE KEPULAUAN,SULAWESI TENGGARA
KONAWE SELATAN,SULAWESI TENGGARA
KONAWE UTARA,SULAWESI TENGGARA
KOTA AMBON,MALUKU
KOTA BALIKPAPAN,KALIMANTAN TIMUR
KOTA BANDA ACEH,ACEH
KOTA BANDAR LAMPUNG,LAMPUNG
KOTA BANDUNG,JAWA BARAT
KOTA BANJAR,JAWA BARAT
KOTA BANJAR BARU,KALIMANTAN SELATAN
KOTA BANJARMASIN,KALIMANTAN SELATAN
KOTA BARU,KALIMANTAN SELATAN
KOTA BATAM,KEPULAUAN RIAU
KOTA BATU,JAWA TIMUR
KOTA BAUBAU,SULAWESI TENGGARA
KOTA BEKASI,JAWA BARAT
KOTA BENGKULU,BENGKULU
KOTA BIMA,NUSA TENGGARA BARAT
KOTA BINJAI,SUMATRA UTARA
KOTA BITUNG,SULAWESI UTARA
KOTA BLITAR,JAWA TIMUR
KOTA BOGOR,JAWA BARAT
KOTA BONTANG,KALIMANTAN TIMUR
KOTA BUKITTINGGI,SUMATRA BARAT
KOTA CILEGON,BANTEN
KOTA CIMAHI,JAWA BARAT
KOTA CIREBON,JAWA BARAT
KOTA DENPASAR,BALI
KOTA DEPOK,JAWA BARAT
KOTA DUMAI,RIAU
KOTA GORONTALO,GORONTALO
KOTA GUNUNGSITOLI,SUMATRA UTARA
KOTA JAKARTA BARAT,DKI JAKARTA
KOTA JAKARTA PUSAT,DKI JAKARTA
KOTA JAKARTA SELATAN,DKI JAKARTA
KOTA JAKARTA TIMUR,DKI JAKARTA
KOTA JAKARTA UTARA,DKI JAKARTA
KOTA JAMBI,JAMBI
KOTA JAYAPURA,PAPUA
KOTA KEDIRI,JAWA TIMUR
KOTA KENDARI,SULAWESI TENGGARA
KOTA KOTAMOBAGU,SULAWESI UTARA
KOTA KUPANG,NUSA TENGGARA TIMUR
KOTA LANGSA,ACEH
KOTA LHOKSEUMAWE,ACEH
KOTA LUBUKLINGGAU,SUMATRA SELATAN
KOTA MADIUN,JAWA TIMUR
KOTA MAGELANG,JAWA TENGAH
KOTA MAKASSAR,SULAWESI SELATAN
KOTA MALANG,JAWA TIMUR
KOTA MANADO,SULAWESI UTARA
KOTA MATARAM,NUSA TENGGARA BARAT
KOTA MEDAN,SUMATRA UTARA
KOTA METRO,LAMPUNG
KOTA MOJOKERTO,JAWA TIMUR
KOTA PADANG,SUMATRA BARAT
KOTA PADANG PANJANG,SUMATRA BARAT
KOTA PADANGSIDIMPUAN,SUMATRA UTARA
KOTA PAGAR ALAM,SUMATRA SELATAN
KOTA PALANGKA RAYA,KALIMANTAN TENGAH
KOTA PALEMBANG,SUMATRA SELATAN
KOTA PALOPO,SULAWESI SELATAN
KOTA PALU,SULAWESI TENGAH
KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
KOTA PAREPARE,SULAWESI SELATAN
KOTA PARIAMAN,SUMATRA BARAT
KOTA PASURUAN,JAWA TIMUR
KOTA PAYAKUMBUH,SUMATRA BARAT
KOTA PEKALONGAN,JAWA TENGAH
KOTA PEKANBARU,RIAU
KOTA PEMATANG SIANTAR,SUMATRA UTARA
KOTA PONTIANAK,KALIMANTAN BARAT
KOTA PRABUMULIH,SUMATRA SELATAN
KOTA PROBOLINGGO,JAWA TIMUR
KOTA SABANG,ACEH
KOTA SALATIGA,JAWA TENGAH
KOTA SAMARINDA,KALIMANTAN TIMUR
KOTA SAWAH LUNTO,SUMATRA BARAT
KOTA SEMARANG,JAWA TENGAH
KOTA SERANG,BANTEN
KOTA SIBOLGA,SUMATRA UTARA
KOTA SINGKAWANG,KALIMANTAN BARAT
KOTA SOLOK,SUMATRA BARAT
KOTA SORONG,PAPUA BARAT DAYA
KOTA SUBULUSSALAM,ACEH
KOTA SUKABUMI,JAWA BARAT
KOTA SUNGAI PENUH,JAMBI
KOTA SURABAYA,JAWA TIMUR
KOTA SURAKARTA,JAWA TENGAH
KOTA TANGERANG,BANTEN
KOTA TANGERANG SELATAN,BANTEN
KOTA TANJUNG BALAI,SUMATRA UTARA
KOTA TANJUNG PINANG,KEPULAUAN RIAU
KOTA TASIKMALAYA,JAWA BARAT
KOTA TEBING TINGGI,SUMATRA UTARA
KOTA TEGAL,JAWA TENGAH
KOTA TERNATE,MALUKU UTARA
KOTA TIDORE KEPULAUAN,MALUKU UTARA
KOTA TOMOHON,SULAWESI UTARA
KOTA TUAL,MALUKU
KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
KOTAWARINGIN BARAT,KALIMANTAN TENGAH
KOTAWARINGIN TIMUR,KALIMANTAN TENGAH
KUANTAN SINGINGI,RIAU
KUBU RAYA,KALIMANTAN BARAT
KUDUS,JAWA TENGAH
KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA
KUNINGAN,JAWA BARAT
KUPANG,NUSA TENGGARA TIMUR
KUTAI BARAT,KALIMANTAN TIMUR
KUTAI KARTANEGARA,KALIMANTAN TIMUR
KUTAI TIMUR,KALIMANTAN TIMUR
LABUHAN BATU,SUMATRA UTARA
LABUHAN BATU SELATAN,SUMATRA UTARA
LABUHAN BATU UTARA,SUMATRA UTARA
LAHAT,SUMATRA SELATAN
LAMANDAU,KALIMANTAN TENGAH
LAMONGAN,JAWA TIMUR
LAMPUNG BARAT,LAMPUNG
LAMPUNG SELATAN,LAMPUNG
LAMPUNG TENGAH,LAMPUNG
LAMPUNG TIMUR,LAMPUNG
LAMPUNG UTARA,LAMPUNG
LANDAK,KALIMANTAN BARAT
LANGKAT,SUMATRA UTARA
LANNY JAYA,PAPUA PEGUNUNGAN
LEBAK,BANTEN
LEBONG,BENGKULU
LEMBATA,NUSA TENGGARA TIMUR
LIMA PULUH KOTA,SUMATRA BARAT
LINGGA,KEPULAUAN RIAU
LOMBOK BARAT,NUSA TENGGARA BARAT
LOMBOK TENGAH,NUSA TENGGARA BARAT
LOMBOK TIMUR,NUSA TENGGARA BARAT
LOMBOK UTARA,NUSA TENGGARA BARAT
LUMAJANG,JAWA TIMUR
LUWU,SULAWESI SELATAN
LUWU TIMUR,SULAWESI SELATAN
LUWU UTARA,SULAWESI SELATAN
MADIUN,JAWA TIMUR
MAGELANG,JAWA TENGAH
MAGETAN,JAWA TIMUR
MAHAKAM HULU,KALIMANTAN TIMUR
MAJALENGKA,JAWA BARAT
MAJENE,SULAWESI BARAT
MALAKA,NUSA TENGGARA TIMUR
MALANG,JAWA TIMUR
MALINAU,KALIMANTAN UTARA
MALUKU BARAT DAYA,MALUKU
MALUKU TENGAH,MALUKU
MALUKU TENGGARA,MALUKU
MALUKU TENGGARA BARAT,MALUKU
MAMASA,SULAWESI BARAT
MAMBERAMO RAYA,PAPUA
MAMBERAMO TENGAH,PAPUA PEGUNUNGAN
MAMUJU,SULAWESI BARAT
MAMUJU TENGAH,SULAWESI BARAT
MAMUJU UTARA,SULAWESI BARAT
MANDAILING NATAL,SUMATRA UTARA
