admin2,region
ACEH BARAT,SUMATRA
ACEH BARAT DAYA,SUMATRA
ACEH BESAR,SUMATRA
ACEH JAYA,SUMATRA
ACEH SELATAN,SUMATRA
ACEH SINGKIL,SUMATRA
ACEH TAMIANG,SUMATRA
ACEH TENGAH,SUMATRA
ACEH TENGGARA,SUMATRA
ACEH TIMUR,SUMATRA
ACEH UTARA,SUMATRA
AGAM,SUMATRA
ALOR,NUSA TENGGARA
ASAHAN,SUMATRA
ASMAT,PAPUA
BADUNG,JAVA & BALI
BALANGAN,KALIMANTAN
BANDUNG,JAVA & BALI
BANDUNG BARAT,JAVA & BALI
BANGGAI,SULAWESI
BANGGAI KEPULAUAN,SULAWESI
BANGGAI LAUT,SULAWESI
BANGKA,SUMATRA
BANGKA BARAT,SUMATRA
BANGKA SELATAN,SUMATRA
BANGKA TENGAH,SUMATRA
BANGKALAN,JAVA & BALI
BANGLI,JAVA & BALI
BANJAR,KALIMANTAN
BANJARNEGARA,JAVA & BALI
BANTAENG,SULAWESI
BANTUL,JAVA & BALI
BANYU ASIN,SUMATRA
BANYUMAS,JAVA & BALI
BANYUWANGI,JAVA & BALI
BARITO KUALA,KALIMANTAN
BARITO SELATAN,KALIMANTAN
BARITO TIMUR,KALIMANTAN
BARITO UTARA,KALIMANTAN
BARRU,SULAWESI
BATANG,JAVA & BALI
BATANG HARI,SUMATRA
BATU BARA,SUMATRA
BEKASI,JAVA & BALI
BELITUNG,SUMATRA
BELITUNG TIMUR,SUMATRA
BELU,NUSA TENGGARA
BENER MERIAH,SUMATRA
BENGKALIS,SUMATRA
BENGKAYANG,KALIMANTAN
BENGKULU SELATAN,SUMATRA
BENGKULU TENGAH,SUMATRA
BENGKULU UTARA,SUMATRA
BERAU,KALIMANTAN
BIAK NUMFOR,PAPUA
BIMA,NUSA TENGGARA
BINTAN,SUMATRA
BIREUEN,SUMATRA
BLITAR,JAVA & BALI
BLORA,JAVA & BALI
BOALEMO,SULAWESI
BOGOR,JAVA & BALI
BOJONEGORO,JAVA & BALI
BOLAANG MONGONDOW,SULAWESI
BOLAANG MONGONDOW SELATAN,SULAWESI
BOLAANG MONGONDOW TIMUR,SULAWESI
BOLAANG MONGONDOW UTARA,SULAWESI
BOMBANA,SULAWESI
BONDOWOSO,JAVA & BALI
BONE,SULAWESI
BONE BOLANGO,SULAWESI
BOVEN DIGOEL,PAPUA
BOYOLALI,JAVA & BALI
BREBES,JAVA & BALI
BULELENG,JAVA & BALI
BULUKUMBA,SULAWESI
BULUNGAN,KALIMANTAN
BUNGO,SUMATRA
BUOL,SULAWESI
BURU,MALUKU
BURU SELATAN,MALUKU
BUTON,SULAWESI
BUTON SELATAN,SULAWESI
BUTON TENGAH,SULAWESI
BUTON UTARA,SULAWESI
CIAMIS,JAVA & BALI
CIANJUR,JAVA & BALI
CILACAP,JAVA & BALI
CIREBON,JAVA & BALI
DAIRI,SUMATRA
DEIYAI,PAPUA
DELI SERDANG,SUMATRA
DEMAK,JAVA & BALI
DHARMASRAYA,SUMATRA
DOGIYAI,PAPUA
DOMPU,NUSA TENGGARA
DONGGALA,SULAWESI
EMPAT LAWANG,SUMATRA
ENDE,NUSA TENGGARA
ENREKANG,SULAWESI
FAKFAK,PAPUA
FLORES TIMUR,NUSA TENGGARA
GARUT,JAVA & BALI
GAYO LUES,SUMATRA
GIANYAR,JAVA & BALI
GORONTALO,SULAWESI
GORONTALO UTARA,SULAWESI
GOWA,SULAWESI
GRESIK,JAVA & BALI
GROBOGAN,JAVA & BALI
GUNUNG KIDUL,JAVA & BALI
GUNUNG MAS,KALIMANTAN
HALMAHERA BARAT,MALUKU
HALMAHERA SELATAN,MALUKU
HALMAHERA TENGAH,MALUKU
HALMAHERA TIMUR,MALUKU
HALMAHERA UTARA,MALUKU
HULU SUNGAI SELATAN,KALIMANTAN
HULU SUNGAI TENGAH,KALIMANTAN
HULU SUNGAI UTARA,KALIMANTAN
HUMBANG HASUNDUTAN,SUMATRA
